base_year,month_code,series,year,month,state,sector,division,group,class,sub_class,item,code,weight,index,inflation,imputation,value
2024,7,Current,2026,July,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,109.21,5.79,,109.21
2024,6,Current,2026,June,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,106.83,5.45,,106.83
2024,5,Current,2026,May,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,105.07,4.85,,105.07
2024,4,Current,2026,April,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,104.17,4.26,,104.17
2024,3,Current,2026,March,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,104.01,3.95,,104.01
2024,2,Current,2026,February,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,103.79,3.46,,103.79
2024,1,Current,2026,January,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,103.89,1.96,,103.89
2024,12,Current,2025,December,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,103.88,,,103.88
2024,11,Current,2025,November,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,104.35,,,104.35
2024,10,Current,2025,October,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,103.78,,,103.78
2024,9,Current,2025,September,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,103.84,,,103.84
2024,8,Current,2025,August,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,104.31,,,104.31
2024,7,Current,2025,July,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,103.23,,,103.23
2024,6,Current,2025,June,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,101.30,,,101.3
2024,5,Current,2025,May,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,100.21,,,100.21
2024,4,Current,2025,April,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,99.91,,,99.91
2024,3,Current,2025,March,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,100.05,,,100.05
2024,2,Current,2025,February,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,100.32,,,100.32
2024,1,Current,2025,January,All India,Rural,Food and beverages,Food,,,,01.1,22.13108147331558,101.89,,,101.89
