date,cpi_combined,cpi_yoy
01-01-2013,104.6,
01-02-2013,105.3,
01-03-2013,105.5,
01-04-2013,106.1,
01-05-2013,106.9,
01-06-2013,109.3,
01-07-2013,111,
01-08-2013,112.4,
01-09-2013,113.7,
01-10-2013,114.8,
01-11-2013,116.3,
01-12-2013,114.5,
01-01-2014,113.6,8.604206501
01-02-2014,113.6,7.882241216
01-03-2014,114.2,8.246445498
01-04-2014,115.1,8.482563619
01-05-2014,115.8,8.325537886
01-06-2014,116.7,6.770356816
01-07-2014,119.2,7.387387387
01-08-2014,120.3,7.028469751
01-09-2014,120.1,5.628847845
01-10-2014,120.1,4.616724739
01-11-2014,120.1,3.267411866
01-12-2014,119.4,4.279475983
01-01-2015,119.5,5.193661972
01-02-2015,119.7,5.36971831
01-03-2015,120.2,5.253940455
01-04-2015,120.7,4.865334492
01-05-2015,121.6,5.008635579
01-06-2015,123,5.398457584
01-07-2015,123.6,3.691275168
01-08-2015,124.8,3.740648379
01-09-2015,125.4,4.412989176
01-10-2015,126.1,4.995836803
01-11-2015,126.6,5.412156536
01-12-2015,126.1,5.611390285
01-01-2016,126.3,5.690376569
01-02-2016,126,5.263157895
01-03-2016,126,4.825291181
01-04-2016,127.3,5.468102734
01-05-2016,128.6,5.756578947
01-06-2016,130.1,5.772357724
01-07-2016,131.1,6.067961165
01-08-2016,131.1,5.048076923
01-09-2016,130.9,4.385964912
01-10-2016,131.4,4.203013481
01-11-2016,131.2,3.633491311
01-12-2016,130.4,3.40999207
01-01-2017,130.3,3.167062549
01-02-2017,130.6,3.650793651
01-03-2017,130.9,3.888888889
01-04-2017,131.1,2.985074627
01-05-2017,131.4,2.177293935
01-06-2017,132,1.460415065
01-07-2017,134.2,2.36460717
01-08-2017,135.4,3.279938978
01-09-2017,135.2,3.284950344
01-10-2017,136.1,3.576864536
01-11-2017,137.6,4.87804878
01-12-2017,137.2,5.214723926
01-01-2018,136.9,5.065234075
01-02-2018,136.4,4.441041348
01-03-2018,136.5,4.278074866
01-04-2018,137.1,4.576659039
01-05-2018,137.8,4.870624049
01-06-2018,138.5,4.924242424
01-07-2018,139.8,4.172876304
01-08-2018,140.4,3.692762186
01-09-2018,140.2,3.698224852
01-10-2018,140.7,3.379867744
01-11-2018,140.8,2.325581395
01-12-2018,140.1,2.113702624
01-01-2019,139.6,1.972242513
01-02-2019,139.9,2.565982405
01-03-2019,140.4,2.857142857
01-04-2019,141.2,2.99051787
01-05-2019,142,3.047895501
01-06-2019,142.9,3.176895307
01-07-2019,144.2,3.147353362
01-08-2019,145,3.276353276
01-09-2019,145.8,3.994293866
01-10-2019,147.2,4.619758351
01-11-2019,148.6,5.539772727
01-12-2019,150.4,7.351891506
01-01-2020,150.2,7.593123209
01-02-2020,149.1,6.576125804
01-03-2020,148.6,5.84045584
01-04-2020,151.4,7.223796034
01-05-2020,150.9,6.267605634
01-06-2020,151.8,6.228131561
01-07-2020,153.9,6.726768377
01-08-2020,154.7,6.689655172
01-09-2020,156.4,7.270233196
01-10-2020,158.4,7.608695652
01-11-2020,158.9,6.931359354
01-12-2020,157.3,4.587765957
01-01-2021,156.3,4.061251664
01-02-2021,156.6,5.030181087
01-03-2021,156.8,5.518169583
01-04-2021,157.8,4.227212682
01-05-2021,160.4,6.295559973
01-06-2021,161.3,6.258234519
01-07-2021,162.5,5.588044185
01-08-2021,162.9,5.300581771
01-09-2021,163.2,4.347826087
01-10-2021,165.5,4.482323232
01-11-2021,166.7,4.90874764
01-12-2021,166.2,5.657978385
01-01-2022,165.7,6.014075496
01-02-2022,166.1,6.066411239
01-03-2022,167.7,6.951530612
01-04-2022,170.1,7.794676806
01-05-2022,171.7,7.044887781
01-06-2022,172.6,7.005579665
01-07-2022,173.4,6.707692308
01-08-2022,174.3,6.998158379
01-09-2022,175.3,7.414215686
01-10-2022,176.7,6.767371601
01-11-2022,176.5,5.878824235
01-12-2022,175.7,5.716004813
01-01-2023,176.5,6.517803259
01-02-2023,176.8,6.441902468
01-03-2023,177.2,5.664877758
01-04-2023,178.1,4.703115814
01-05-2023,179.1,4.309842749
01-06-2023,181,4.866743917
01-07-2023,186.3,7.439446367
01-08-2023,186.2,6.827309237
01-09-2023,184.1,5.019965773
01-10-2023,185.3,4.867006225
01-11-2023,186.3,5.552407932
01-12-2023,185.7,5.691519636
01-01-2024,185.5,5.099150142
01-02-2024,185.8,5.090497738
01-03-2024,185.8,4.853273138
01-04-2024,186.7,4.828747894
01-05-2024,187.7,4.801786711
01-06-2024,190.2,5.082872928
01-07-2024,193,3.596349973
01-08-2024,193,3.651987111
01-09-2024,194.2,5.486148832
01-10-2024,196.8,6.206152186
01-11-2024,196.5,5.475040258
01-12-2024,195.4,5.223478729
01-01-2025,193.4,4.258760108
01-02-2025,192.5,3.606027987
01-03-2025,192,3.336921421
01-04-2025,192.6,3.160149973
01-05-2025,193,2.823654768
01-06-2025,194.2,2.103049422
01-07-2025,196.1,1.606217617
01-08-2025,197,2.07253886
01-09-2025,197,1.441812564
01-10-2025,197.3,0.254065041
01-11-2025,197.9,0.712468193
01-12-2025,198,1.330603889
