date,cpi_combined,wpi_all,wpi_fuel,wpi_manufacturing,wpi_primary,wpi_all_yoy,wpi_primary_yoy,wpi_fuel_yoy,wpi_manufacturing_yoy,output_ppi,output_ppi_yoy,cpi_rural,cpi_urban,cpi_rural_food_x,cpi_rural_food_y
01-01-2013,104.6,,,,,,,,,,,,,,
01-02-2013,105.3,,,,,,,,,,,,,,
01-03-2013,105.5,,,,,,,,,,,,,,
01-04-2013,106.1,,,,,,,,,,,,,,
01-05-2013,106.9,,,,,,,,,,,,,,
01-06-2013,109.3,,,,,,,,,,,,,,
01-07-2013,111,,,,,,,,,,,,,,
01-08-2013,112.4,,,,,,,,,,,,,,
01-09-2013,113.7,,,,,,,,,,,,,,
01-10-2013,114.8,,,,,,,,,,,,,,
01-11-2013,116.3,,,,,,,,,,,,,,
01-12-2013,114.5,,,,,,,,,,,,,,
01-01-2014,113.6,,,,,,,,,,,,,,
01-02-2014,113.6,,,,,,,,,,,,,,
01-03-2014,114.2,,,,,,,,,,,,,,
01-04-2014,115.1,,,,,,,,,,,,,,
01-05-2014,115.8,,,,,,,,,,,,,,
01-06-2014,116.7,,,,,,,,,,,,,,
01-07-2014,119.2,,,,,,,,,,,,,,
01-08-2014,120.3,,,,,,,,,,,,,,
01-09-2014,120.1,,,,,,,,,,,,,,
01-10-2014,120.1,,,,,,,,,,,,,,
01-11-2014,120.1,,,,,,,,,,,,,,
01-12-2014,119.4,,,,,,,,,,,,,,
01-01-2015,119.5,,,,,,,,,,,,,,
01-02-2015,119.7,,,,,,,,,,,,,,
01-03-2015,120.2,,,,,,,,,,,,,,
01-04-2015,120.7,,,,,,,,,,,,,,
01-05-2015,121.6,,,,,,,,,,,,,,
01-06-2015,123,,,,,,,,,,,,,,
01-07-2015,123.6,,,,,,,,,,,,,,
01-08-2015,124.8,,,,,,,,,,,,,,
01-09-2015,125.4,,,,,,,,,,,,,,
01-10-2015,126.1,,,,,,,,,,,,,,
01-11-2015,126.6,,,,,,,,,,,,,,
01-12-2015,126.1,,,,,,,,,,,,,,
01-01-2016,126.3,,,,,,,,,,,,,,
01-02-2016,126,,,,,,,,,,,,,,
01-03-2016,126,,,,,,,,,,,,,,
01-04-2016,127.3,,,,,,,,,,,,,,
01-05-2016,128.6,,,,,,,,,,,,,,
01-06-2016,130.1,,,,,,,,,,,,,,
01-07-2016,131.1,,,,,,,,,,,,,,
01-08-2016,131.1,,,,,,,,,,,,,,
01-09-2016,130.9,,,,,,,,,,,,,,
01-10-2016,131.4,,,,,,,,,,,,,,
01-11-2016,131.2,,,,,,,,,,,,,,
01-12-2016,130.4,,,,,,,,,,,,,,
01-01-2017,130.3,,,,,,,,,,,,,,
01-02-2017,130.6,,,,,,,,,,,,,,
01-03-2017,130.9,,,,,,,,,,,,,,
01-04-2017,131.1,,,,,,,,,,,,,,
01-05-2017,131.4,,,,,,,,,,,,,,
01-06-2017,132,,,,,,,,,,,,,,
01-07-2017,134.2,,,,,,,,,,,,,,
01-08-2017,135.4,,,,,,,,,,,,,,
01-09-2017,135.2,,,,,,,,,,,,,,
01-10-2017,136.1,,,,,,,,,,,,,,
01-11-2017,137.6,,,,,,,,,,,,,,
01-12-2017,137.2,,,,,,,,,,,,,,
01-01-2018,136.9,,,,,,,,,,,,,,
01-02-2018,136.4,,,,,,,,,,,,,,
01-03-2018,136.5,,,,,,,,,,,,,,
01-04-2018,137.1,,,,,,,,,,,,,,
01-05-2018,137.8,,,,,,,,,,,,,,
01-06-2018,138.5,,,,,,,,,,,,,,
01-07-2018,139.8,,,,,,,,,,,,,,
01-08-2018,140.4,,,,,,,,,,,,,,
01-09-2018,140.2,,,,,,,,,,,,,,
01-10-2018,140.7,,,,,,,,,,,,,,
01-11-2018,140.8,,,,,,,,,,,,,,
01-12-2018,140.1,,,,,,,,,,,,,,
01-01-2019,139.6,,,,,,,,,,,,,,
01-02-2019,139.9,,,,,,,,,,,,,,
01-03-2019,140.4,,,,,,,,,,,,,,
01-04-2019,141.2,,,,,,,,,,,,,,
01-05-2019,142,,,,,,,,,,,,,,
01-06-2019,142.9,,,,,,,,,,,,,,
01-07-2019,144.2,,,,,,,,,,,,,,
01-08-2019,145,,,,,,,,,,,,,,
01-09-2019,145.8,,,,,,,,,,,,,,
01-10-2019,147.2,,,,,,,,,,,,,,
01-11-2019,148.6,,,,,,,,,,,,,,
01-12-2019,150.4,,,,,,,,,,,,,,
01-01-2020,150.2,,,,,,,,,,,,,,
01-02-2020,149.1,,,,,,,,,,,,,,
01-03-2020,148.6,,,,,,,,,,,,,,
01-04-2020,151.4,,,,,,,,,,,,,,
01-05-2020,150.9,,,,,,,,,,,,,,
01-06-2020,151.8,,,,,,,,,,,,,,
01-07-2020,153.9,,,,,,,,,,,,,,
01-08-2020,154.7,,,,,,,,,,,,,,
01-09-2020,156.4,,,,,,,,,,,,,,
01-10-2020,158.4,,,,,,,,,,,,,,
01-11-2020,158.9,,,,,,,,,,,,,,
01-12-2020,157.3,,,,,,,,,,,,,,
01-01-2021,156.3,,,,,,,,,,,,,,
01-02-2021,156.6,,,,,,,,,,,,,,
01-03-2021,156.8,,,,,,,,,,,,,,
01-04-2021,157.8,,,,,,,,,,,,,,
01-05-2021,160.4,,,,,,,,,,,,,,
01-06-2021,161.3,,,,,,,,,,,,,,
01-07-2021,162.5,,,,,,,,,,,,,,
01-08-2021,162.9,,,,,,,,,,,,,,
01-09-2021,163.2,,,,,,,,,,,,,,
01-10-2021,165.5,,,,,,,,,,,,,,
01-11-2021,166.7,,,,,,,,,,,,,,
01-12-2021,166.2,,,,,,,,,,,,,,
01-01-2022,165.7,,,,,,,,,,,,,,
01-02-2022,166.1,,,,,,,,,,,,,,
01-03-2022,167.7,,,,,,,,,,,,,,
01-04-2022,170.1,,,,,,,,,,,,,,
01-05-2022,171.7,,,,,,,,,,,,,,
01-06-2022,172.6,,,,,,,,,,,,,,
01-07-2022,173.4,,,,,,,,,,,,,,
01-08-2022,174.3,,,,,,,,,,,,,,
01-09-2022,175.3,,,,,,,,,,,,,,
01-10-2022,176.7,,,,,,,,,,,,,,
01-11-2022,176.5,,,,,,,,,,,,,,
01-12-2022,175.7,,,,,,,,,,,,,,
01-01-2023,176.5,,,,,,,,,,,,,,
01-02-2023,176.8,,,,,,,,,,,,,,
01-03-2023,177.2,,,,,,,,,,,,,,
01-04-2023,178.1,99,94,99.1,102,,,,,99.1,,,,,
01-05-2023,179.1,98.6,91.4,98.9,102.3,,,,,98.6,,,,,
01-06-2023,181,98.3,90.5,98.2,103.3,,,,,98.2,,,,,
01-07-2023,186.3,99.1,90.6,97.8,107.9,,,,,99.1,,,,,
01-08-2023,186.2,99.5,91.8,98.1,108,,,,,99.4,,,,,
01-09-2023,184.1,99.6,94.2,98.3,106.4,,,,,99.6,,,,,
01-10-2023,185.3,100.1,95.2,98.4,107.8,,,,,100,,,,,
01-11-2023,186.3,100.1,94.2,98.2,108.9,,,,,99.9,,,,,
01-12-2023,185.7,99.4,93.5,97.9,107.2,,,,,99.2,,,,,
01-01-2024,185.5,99.3,93.7,97.7,107.4,,,,,99.2,,,,,
01-02-2024,185.8,99.3,93.6,97.4,107.9,,,,,99.2,,,,,
01-03-2024,185.8,99.4,93.3,97.7,108.1,,,,,99.2,,,,,
01-04-2024,186.7,99.9,92,98.5,108.8,0.909090909,6.666666667,-2.127659574,-0.605449041,99.7,0.605449041,,,,
01-05-2024,187.7,100.4,91.7,98.9,110.1,1.825557809,7.624633431,0.328227571,0,100.1,1.521298174,,,,
01-06-2024,190.2,100.7,89.9,99.1,111.8,2.441505595,8.228460794,-0.662983425,0.916496945,100.4,2.240325866,,,,
01-07-2024,193,101,91.2,98.8,113.1,1.917255298,4.819277108,0.662251656,1.022494888,100.8,1.715438951,,,,
