date,output_ppi,output_ppi_yoy
01-04-2023,99.1,
01-05-2023,98.6,
01-06-2023,98.2,
01-07-2023,99.1,
01-08-2023,99.4,
01-09-2023,99.6,
01-10-2023,100,
01-11-2023,99.9,
01-12-2023,99.2,
01-01-2024,99.2,
01-02-2024,99.2,
01-03-2024,99.2,
01-04-2024,99.7,0.605449041
01-05-2024,100.1,1.521298174
01-06-2024,100.4,2.240325866
01-07-2024,100.8,1.715438951
01-08-2024,100.7,1.307847082
01-09-2024,101,1.40562249
01-10-2024,101.8,1.8
01-11-2024,102,2.102102102
01-12-2024,101.5,2.318548387
01-01-2025,101.2,2.016129032
01-02-2025,101,1.814516129
01-03-2025,100.7,1.512096774
01-04-2025,100.5,0.802407222
01-05-2025,100.2,0.0999001
01-06-2025,100.3,-0.099601594
01-07-2025,100.3,-0.496031746
01-08-2025,100.9,0.198609732
01-09-2025,101,0
01-10-2025,101.1,-0.68762279
01-11-2025,101.7,-0.294117647
01-12-2025,102.1,0.591133005
01-01-2026,102.6,1.383399209
01-02-2026,103.3,2.277227723
01-03-2026,104.9,4.170804369
01-04-2026,108.8,8.258706468
01-05-2026,109.9,9.680638723
01-06-2026,109.9,9.571286142
01-07-2026,109.9,9.571286142
