date,wpi_all,wpi_fuel,wpi_manufacturing,wpi_primary,wpi_all_yoy,wpi_primary_yoy,wpi_fuel_yoy,wpi_manufacturing_yoy
01-04-2023,99,94,99.1,102,,,,
01-05-2023,98.6,91.4,98.9,102.3,,,,
01-06-2023,98.3,90.5,98.2,103.3,,,,
01-07-2023,99.1,90.6,97.8,107.9,,,,
01-08-2023,99.5,91.8,98.1,108,,,,
01-09-2023,99.6,94.2,98.3,106.4,,,,
01-10-2023,100.1,95.2,98.4,107.8,,,,
01-11-2023,100.1,94.2,98.2,108.9,,,,
01-12-2023,99.4,93.5,97.9,107.2,,,,
01-01-2024,99.3,93.7,97.7,107.4,,,,
01-02-2024,99.3,93.6,97.4,107.9,,,,
01-03-2024,99.4,93.3,97.7,108.1,,,,
01-04-2024,99.9,92,98.5,108.8,0.909090909,6.666666667,-2.127659574,-0.605449041
01-05-2024,100.4,91.7,98.9,110.1,1.825557809,7.624633431,0.328227571,0
01-06-2024,100.7,89.9,99.1,111.8,2.441505595,8.228460794,-0.662983425,0.916496945
01-07-2024,101,91.2,98.8,113.1,1.917255298,4.819277108,0.662251656,1.022494888
01-08-2024,100.8,90.9,98.4,113.8,1.306532663,5.37037037,-0.980392157,0.305810398
01-09-2024,101.2,90.1,98.6,115.4,1.606425703,8.458646617,-4.352441614,0.305188199
01-10-2024,102.1,90.6,99.2,117.1,1.998001998,8.627087199,-4.831932773,0.81300813
01-11-2024,102.1,91.1,99.2,117.1,1.998001998,7.529843893,-3.290870488,1.018329939
01-12-2024,101.6,91.4,98.9,115.2,2.213279678,7.462686567,-2.245989305,1.02145046
01-01-2025,101.1,91.5,99.2,112.2,1.812688822,4.469273743,-2.34791889,1.53531218
01-02-2025,100.9,92.1,99.6,109.8,1.611278953,1.760889713,-1.602564103,2.258726899
01-03-2025,100.6,90.6,99.9,108.6,1.207243461,0.46253469,-2.893890675,2.251791198
01-04-2025,100.5,88.8,100.3,108.5,0.600600601,-0.275735294,-3.47826087,1.827411168
01-05-2025,100.2,86.7,100.3,108.3,-0.199203187,-1.634877384,-5.452562704,1.415571284
01-06-2025,100.3,87.2,100.3,108.5,-0.397219464,-2.951699463,-3.003337041,1.210898083
01-07-2025,100.2,87.8,100.1,108,-0.792079208,-4.50928382,-3.728070175,1.315789474
01-08-2025,100.8,88.1,100.4,109.6,0,-3.690685413,-3.080308031,2.032520325
01-09-2025,101,87.8,100.4,110.7,-0.197628458,-4.072790295,-2.552719201,1.825557809
01-10-2025,100.9,87.1,100.6,110.4,-1.175318315,-5.721605465,-3.863134658,1.411290323
01-11-2025,101.5,88.4,100.6,112.3,-0.587659158,-4.099060632,-2.96377607,1.411290323
01-12-2025,101.9,89,101.1,112,0.295275591,-2.777777778,-2.625820569,2.224469161
01-01-2026,102.3,88,102,112.1,1.18694362,-0.08912656,-3.825136612,2.822580645
01-02-2026,103.1,89,103.2,111.6,2.180376611,1.639344262,-3.365906623,3.614457831
01-03-2026,104.6,93.5,104.7,111.4,3.976143141,2.578268877,3.200883002,4.804804805
01-04-2026,108.9,111,107,112.8,8.358208955,3.963133641,25,6.67996012
01-05-2026,110.1,113.4,108,114,9.880239521,5.263157895,30.79584775,7.676969093
01-06-2026,110.2,111.1,107.8,116.1,9.870388833,7.004608295,27.40825688,7.477567298
01-07-2026,110,105.4,108.4,117.2,9.780439122,8.518518519,20.04555809,8.291708292
