variable,lag_months,n,correlation
wpi_inflation,0,21,0.897511133
wpi_inflation,1,20,0.804898201
wpi_inflation,2,19,0.732355477
wpi_inflation,3,18,0.7962174
wpi_inflation,4,17,0.771257313
wpi_inflation,5,16,0.631741018
wpi_inflation,6,15,0.47882252
wpi_primary_inflation,0,21,0.961185105
wpi_primary_inflation,1,20,0.927606076
wpi_primary_inflation,2,19,0.85664995
wpi_primary_inflation,3,18,0.845621611
wpi_primary_inflation,4,17,0.832300204
wpi_primary_inflation,5,16,0.772223798
wpi_primary_inflation,6,15,0.715548736
wpi_fuel_inflation,0,21,0.163660065
wpi_fuel_inflation,1,20,0.210228772
wpi_fuel_inflation,2,19,0.347646815
wpi_fuel_inflation,3,18,0.472196487
wpi_fuel_inflation,4,17,0.632961789
wpi_fuel_inflation,5,16,0.686123278
wpi_fuel_inflation,6,15,0.584707859
wpi_manufacturing_inflation,0,21,-0.545118406
wpi_manufacturing_inflation,1,20,-0.649906098
wpi_manufacturing_inflation,2,19,-0.671685585
wpi_manufacturing_inflation,3,18,-0.571695579
wpi_manufacturing_inflation,4,17,-0.612193135
wpi_manufacturing_inflation,5,16,-0.72642414
wpi_manufacturing_inflation,6,15,-0.794108053
ppi_inflation,0,21,0.849737819
ppi_inflation,1,20,0.745782549
ppi_inflation,2,19,0.65950909
ppi_inflation,3,18,0.707635356
ppi_inflation,4,17,0.65008862
ppi_inflation,5,16,0.465192158
ppi_inflation,6,15,0.255929985
