date,cpi_inflation,wpi_inflation,wpi_primary_inflation,wpi_fuel_inflation,wpi_manufacturing_inflation,ppi_inflation
01-04-2024,4.828747894,0.909090909,6.666666667,-2.127659574,-0.605449041,0.605449041
01-05-2024,4.801786711,1.825557809,7.624633431,0.328227571,0,1.521298174
01-06-2024,5.082872928,2.441505595,8.228460794,-0.662983425,0.916496945,2.240325866
01-07-2024,3.596349973,1.917255298,4.819277108,0.662251656,1.022494888,1.715438951
01-08-2024,3.651987111,1.306532663,5.37037037,-0.980392157,0.305810398,1.307847082
01-09-2024,5.486148832,1.606425703,8.458646617,-4.352441614,0.305188199,1.40562249
01-10-2024,6.206152186,1.998001998,8.627087199,-4.831932773,0.81300813,1.8
01-11-2024,5.475040258,1.998001998,7.529843893,-3.290870488,1.018329939,2.102102102
01-12-2024,5.223478729,2.213279678,7.462686567,-2.245989305,1.02145046,2.318548387
01-01-2025,4.258760108,1.812688822,4.469273743,-2.34791889,1.53531218,2.016129032
01-02-2025,3.606027987,1.611278953,1.760889713,-1.602564103,2.258726899,1.814516129
01-03-2025,3.336921421,1.207243461,0.46253469,-2.893890675,2.251791198,1.512096774
01-04-2025,3.160149973,0.600600601,-0.275735294,-3.47826087,1.827411168,0.802407222
01-05-2025,2.823654768,-0.199203187,-1.634877384,-5.452562704,1.415571284,0.0999001
01-06-2025,2.103049422,-0.397219464,-2.951699463,-3.003337041,1.210898083,-0.099601594
01-07-2025,1.606217617,-0.792079208,-4.50928382,-3.728070175,1.315789474,-0.496031746
01-08-2025,2.07253886,0,-3.690685413,-3.080308031,2.032520325,0.198609732
01-09-2025,1.441812564,-0.197628458,-4.072790295,-2.552719201,1.825557809,0
01-10-2025,0.254065041,-1.175318315,-5.721605465,-3.863134658,1.411290323,-0.68762279
01-11-2025,0.712468193,-0.587659158,-4.099060632,-2.96377607,1.411290323,-0.294117647
01-12-2025,1.330603889,0.295275591,-2.777777778,-2.625820569,2.224469161,0.591133005
