baseyear,year,month_code,month,state,sector,group,subgroup,index,inflation,status,value
2012,2025,12,December,All India,Combined,General,General-Overall,198.0,1.33,F,198
2012,2025,11,November,All India,Combined,General,General-Overall,197.9,0.71,F,197.9
2012,2025,10,October,All India,Combined,General,General-Overall,197.3,0.25,F,197.3
2012,2025,9,September,All India,Combined,General,General-Overall,197.0,1.44,F,197
2012,2025,8,August,All India,Combined,General,General-Overall,197.0,2.07,F,197
2012,2025,7,July,All India,Combined,General,General-Overall,196.1,1.61,F,196.1
2012,2025,6,June,All India,Combined,General,General-Overall,194.2,2.10,F,194.2
2012,2025,5,May,All India,Combined,General,General-Overall,193.0,2.82,F,193
2012,2025,4,April,All India,Combined,General,General-Overall,192.6,3.16,F,192.6
2012,2025,3,March,All India,Combined,General,General-Overall,192.0,3.34,F,192
2012,2025,2,February,All India,Combined,General,General-Overall,192.5,3.61,F,192.5
2012,2025,1,January,All India,Combined,General,General-Overall,193.4,4.26,F,193.4
2012,2024,12,December,All India,Combined,General,General-Overall,195.4,5.22,F,195.4
2012,2024,11,November,All India,Combined,General,General-Overall,196.5,5.48,F,196.5
2012,2024,10,October,All India,Combined,General,General-Overall,196.8,6.21,F,196.8
2012,2024,9,September,All India,Combined,General,General-Overall,194.2,5.49,F,194.2
2012,2024,8,August,All India,Combined,General,General-Overall,193.0,3.65,F,193
2012,2024,7,July,All India,Combined,General,General-Overall,193.0,3.60,F,193
2012,2024,6,June,All India,Combined,General,General-Overall,190.2,5.08,F,190.2
2012,2024,5,May,All India,Combined,General,General-Overall,187.7,4.80,F,187.7
2012,2024,4,April,All India,Combined,General,General-Overall,186.7,4.83,F,186.7
2012,2024,3,March,All India,Combined,General,General-Overall,185.8,4.85,F,185.8
2012,2024,2,February,All India,Combined,General,General-Overall,185.8,5.09,F,185.8
2012,2024,1,January,All India,Combined,General,General-Overall,185.5,5.10,F,185.5
2012,2023,12,December,All India,Combined,General,General-Overall,185.7,5.69,F,185.7
2012,2023,11,November,All India,Combined,General,General-Overall,186.3,5.55,F,186.3
2012,2023,10,October,All India,Combined,General,General-Overall,185.3,4.87,F,185.3
