base_year,month_code,series,year,month,state,sector,division,group,class,sub_class,item,code,weight,index,inflation,imputation,value
2024,7,Current,2026,July,All India,Rural,CPI (General),,,,,,55.41920562300644,108.34,4.84,,108.34
2024,6,Current,2026,June,All India,Rural,CPI (General),,,,,,55.41920562300644,107.24,4.74,,107.24
2024,5,Current,2026,May,All India,Rural,CPI (General),,,,,,55.41920562300644,106.11,4.25,,106.11
2024,4,Current,2026,April,All India,Rural,CPI (General),,,,,,55.41920562300644,105.28,3.74,,105.28
2024,3,Current,2026,March,All India,Rural,CPI (General),,,,,,55.41920562300644,105.02,3.63,,105.02
2024,2,Current,2026,February,All India,Rural,CPI (General),,,,,,55.41920562300644,104.74,3.37,,104.74
2024,1,Current,2026,January,All India,Rural,CPI (General),,,,,,55.41920562300644,104.59,2.73,,104.59
2024,12,Current,2025,December,All India,Rural,CPI (General),,,,,,55.41920562300644,104.19,,,104.19
2024,11,Current,2025,November,All India,Rural,CPI (General),,,,,,55.41920562300644,104.16,,,104.16
2024,10,Current,2025,October,All India,Rural,CPI (General),,,,,,55.41920562300644,103.85,,,103.85
2024,9,Current,2025,September,All India,Rural,CPI (General),,,,,,55.41920562300644,103.80,,,103.8
2024,8,Current,2025,August,All India,Rural,CPI (General),,,,,,55.41920562300644,103.84,,,103.84
2024,7,Current,2025,July,All India,Rural,CPI (General),,,,,,55.41920562300644,103.34,,,103.34
2024,6,Current,2025,June,All India,Rural,CPI (General),,,,,,55.41920562300644,102.39,,,102.39
2024,5,Current,2025,May,All India,Rural,CPI (General),,,,,,55.41920562300644,101.78,,,101.78
2024,4,Current,2025,April,All India,Rural,CPI (General),,,,,,55.41920562300644,101.49,,,101.49
2024,3,Current,2025,March,All India,Rural,CPI (General),,,,,,55.41920562300644,101.34,,,101.34
2024,2,Current,2025,February,All India,Rural,CPI (General),,,,,,55.41920562300644,101.33,,,101.33
2024,1,Current,2025,January,All India,Rural,CPI (General),,,,,,55.41920562300644,101.81,,,101.81
