base_year,month_code,series,year,month,state,sector,division,group,class,sub_class,item,code,weight,index,inflation,imputation,value
2024,7,Current,2026,July,All India,Urban,CPI (General),,,,,,44.58079437699355,107.45,3.96,,107.45
2024,6,Current,2026,June,All India,Urban,CPI (General),,,,,,44.58079437699355,106.69,3.93,,106.69
2024,5,Current,2026,May,All India,Urban,CPI (General),,,,,,44.58079437699355,105.66,3.53,,105.66
2024,4,Current,2026,April,All India,Urban,CPI (General),,,,,,44.58079437699355,104.92,3.16,,104.92
2024,3,Current,2026,March,All India,Urban,CPI (General),,,,,,44.58079437699355,104.62,3.11,,104.62
2024,2,Current,2026,February,All India,Urban,CPI (General),,,,,,44.58079437699355,104.36,3.02,,104.36
2024,1,Current,2026,January,All India,Urban,CPI (General),,,,,,44.58079437699355,104.28,2.75,,104.28
2024,12,Current,2025,December,All India,Urban,CPI (General),,,,,,44.58079437699355,103.98,,,103.98
2024,11,Current,2025,November,All India,Urban,CPI (General),,,,,,44.58079437699355,103.83,,,103.83
2024,10,Current,2025,October,All India,Urban,CPI (General),,,,,,44.58079437699355,103.61,,,103.61
2024,9,Current,2025,September,All India,Urban,CPI (General),,,,,,44.58079437699355,103.66,,,103.66
2024,8,Current,2025,August,All India,Urban,CPI (General),,,,,,44.58079437699355,103.60,,,103.6
2024,7,Current,2025,July,All India,Urban,CPI (General),,,,,,44.58079437699355,103.36,,,103.36
2024,6,Current,2025,June,All India,Urban,CPI (General),,,,,,44.58079437699355,102.66,,,102.66
2024,5,Current,2025,May,All India,Urban,CPI (General),,,,,,44.58079437699355,102.06,,,102.06
2024,4,Current,2025,April,All India,Urban,CPI (General),,,,,,44.58079437699355,101.71,,,101.71
2024,3,Current,2025,March,All India,Urban,CPI (General),,,,,,44.58079437699355,101.47,,,101.47
2024,2,Current,2025,February,All India,Urban,CPI (General),,,,,,44.58079437699355,101.30,,,101.3
2024,1,Current,2025,January,All India,Urban,CPI (General),,,,,,44.58079437699355,101.49,,,101.49
